"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","69","3.265","29.0","30.4","17.4","13.0","5.8","2.9",".",".",".",".",".",".",".","1.4",".","."
"120
Linguistic Diversity in CSD","001","","194","3.724","71.1","10.8","12.4","1.5","2.1","1.0",".","0.5",".",".",".",".",".","0.5",".","."
"201
Anatomy & Physiology of Speech","001","","44","3.193","25.0","36.4","18.2","11.4",".","9.1",".",".",".",".",".",".",".",".",".","."
"202
Hearing Science","001","","62","3.694","58.1","29.0","8.1","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"210
Neural Base Comm","001","","173","3.462","50.3","24.3","11.0","5.8","5.2","2.3","1.2",".",".",".",".",".",".",".",".","."
"318
Voice, Craniofac & Fluency Dis","001","","100","3.785","74.0","16.0","5.0","3.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","99","3.955","91.9","7.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","103","3.723","71.8","17.5","3.9","2.9","1.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"434
Sign Language II","001","","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","113","3.850","87.6","5.3","3.5","1.8",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Lang&Cogntv-Com Dis in Adults","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Motor Speech Disord/Communictn","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
School Methods in Lang Dis","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Capstone in Comm Sci & Dis","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 222 of 486",""
