"BUS","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"FINANCE
Dept. Total
233","2232","3.416","31.7","26.7","16.4","5.4","3.7","1.3","0.1","0.3","",".","13.7","0.4","0.1","",".",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","8","3.500",".","12.5",".",".",".",".",".",".","",".","75.0","12.5",".","",".",".",".","."
"Sophomore","215","3.250","9.3","17.2","13.0","5.6","1.4","0.9",".",".","",".","52.6",".",".","",".",".",".","."
"Junior","667","3.414","26.2","29.8","15.6","5.5","3.0","0.9",".",".","",".","18.4","0.4",".","",".",".",".","."
"Senior","1015","3.393","35.2","27.9","17.6","5.9","4.9","1.8","0.3","0.1","",".","6.0","0.3",".","",".",".",".","."
"Undergraduates","1905","3.391","29.0","27.3","16.3","5.7","3.8","1.4","0.2","0.1","",".","15.9","0.4",".","",".",".",".","."
"Special","49","3.231","24.5","22.4","12.2","10.2","8.2","2.0",".","8.2","",".","4.1","2.0",".","",".",".","6.1","."
"Graduate","277","3.590","52.0","23.5","18.1","2.2","2.2","0.7",".","0.7","",".",".",".","0.7","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Dept. Total","2232","3.416","31.7","26.7","16.4","5.4","3.7","1.3","0.1","0.3","",".","13.7","0.4","0.1","",".",".","0.1","."
