"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","",""
"HEC","College Total","6558","3.664","66.3","16.1","8.2","3.0","2.7","1.1","0.9","1.0","",".",".","",".","0.1","0.3","0.0","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"HEC","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","303","3.478","54.8","19.8","10.6","6.9","5.6","1.7","0.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","1246","3.690","66.9","16.5","10.1","2.4","1.7","1.0","1.0",".","",".",".","",".",".","0.2","0.1",".","."
"Junior","","2029","3.622","65.3","16.0","9.9","3.1","3.1","1.3","1.2",".","",".",".","",".",".","0.1","0.0",".","."
"Senior","","2703","3.695","68.6","16.8","6.6","3.1","2.9","1.1","0.5","0.1","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","6281","3.660","66.5","16.7","8.5","3.1","2.8","1.2","0.8","0.1","",".",".","",".",".","0.2","0.0",".","."
"Special","","36","3.429","41.7","2.8",".","2.8","2.8",".","5.6","30.6","",".",".","",".",".",".","2.8","11.1","."
"Graduate","","235","3.825","63.8","5.1","0.9","0.9","0.4",".","1.7","21.3","",".",".","",".","3.8","2.1",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","College Total","6558","3.664","66.3","16.1","8.2","3.0","2.7","1.1","0.9","1.0","",".",".","",".","0.1","0.3","0.0","0.1","."
