"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","265","3.148","20.8","28.7","24.9","13.6","10.2","1.1","0.4",".",".",".",".",".","0.4",".",".","."
"","103
002","160","2.896","13.8","20.6","23.1","21.3","18.8","0.6","1.3",".",".",".",".",".","0.6",".",".","."
"General Physics","Course Total","425","3.053","18.1","25.6","24.2","16.5","13.4","0.9","0.7",".",".",".",".",".","0.5",".",".","."
"","104
001","222","2.957","18.5","18.5","23.0","23.4","13.5","1.4","1.4","0.5",".",".",".",".",".",".",".","."
"","104
002","222","3.145","22.5","25.7","23.0","16.7","10.8","0.9",".","0.5",".",".",".",".",".",".",".","."
"","104
003","135","3.144","28.9","16.3","23.0","20.0","11.1","0.7",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","579","3.073","22.5","20.7","23.0","20.0","11.9","1.0","0.5","0.3",".",".",".",".",".",".",".","."
"Physics of Sports","106
001","154","3.620","70.8","9.1","11.0","4.5",".","2.6","1.9",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","80","3.930","85.0","13.8",".",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"","109
001","135","3.722","62.2","24.4","9.6","3.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"","109
002","52","3.667","51.9","32.7","9.6","1.9","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"Physics in the Arts","Course Total","187","3.707","59.4","26.7","9.6","2.7","1.1",".",".",".",".",".",".",".","0.5",".",".","."
"Energy and Climate","115
001","27","3.380","44.4","14.8","14.8","11.1","3.7","3.7",".","7.4",".",".",".",".",".",".",".","."
"","201
001","199","2.874","18.6","16.6","22.6","19.6","16.1","4.5","1.5",".",".",".",".",".","0.5",".",".","."
"","201
002","221","2.903","14.9","23.1","23.5","17.2","15.8","4.5","0.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","420","2.889","16.7","20.0","23.1","18.3","16.0","4.5","1.2",".",".",".",".",".","0.2",".",".","."
"","202
001","227","3.042","18.1","21.1","26.9","20.7","11.5","1.3",".","0.4",".",".",".",".",".",".",".","."
"","202
002","192","3.034","18.8","19.8","29.2","18.2","13.0",".","1.0",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","419","3.038","18.4","20.5","27.9","19.6","12.2","0.7","0.5","0.2",".",".",".",".",".",".",".","."
"General Physics","207
001","151","3.090","20.5","22.5","31.1","15.2","6.0","2.6","1.3",".",".",".",".",".","0.7",".",".","."
"","208
001","131","2.996","18.3","19.1","29.8","21.4","6.9","3.1","1.5",".",".",".",".",".",".",".",".","."
"","208
002","160","2.991","17.5","23.8","21.9","23.1","10.6","1.3","1.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","291","2.993","17.9","21.6","25.4","22.3","8.9","2.1","1.7",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","65","3.854","86.2","6.2","3.1","1.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","45","3.789","68.9","24.4","4.4",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","53","3.830","73.6","20.8","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","23","3.326","34.8","26.1","21.7","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301
001","84","3.837","88.1","4.8","1.2","1.2",".","3.6",".","1.2",".",".",".",".",".",".",".","."
"","307
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","33","3.742","51.5","45.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","52","3.048","17.3","25.0","19.2","26.9","11.5",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","71","3.500","33.8","38.0","19.7","7.0",".",".",".",".",".",".",".",".",".","1.4",".","."
"Optics","325
001","27","3.556","44.4","29.6","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning in Physics","361
001","38","3.875","76.3","13.2","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
