"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","4034","3.200","38.3","14.9","21.2","10.1","10.4","2.3","0.7","1.7","",".",".","",".","0.1","0.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","2.736","11.9","4.8","35.7","19.0","21.4","4.8",".",".","",".",".","",".",".",".","2.4",".","."
"Sophomore","","668","3.097","31.1","12.7","24.4","13.8","14.8","2.2","0.7",".","",".",".","",".",".","0.1",".",".","."
"Junior","","1315","3.062","32.5","13.3","23.8","12.6","13.2","3.5","0.9",".","",".",".","",".",".","0.2",".",".","."
"Senior","","1421","3.259","41.0","16.7","20.6","9.2","9.4","1.9","0.8","0.2","",".",".","",".",".","0.1",".",".","."
"Undergraduates","","3446","3.144","35.5","14.5","22.8","11.5","12.0","2.6","0.8","0.1","",".",".","",".",".","0.1","0.0",".","."
"Special","","46","3.765","69.6","13.0","4.3",".","4.3",".",".","6.5","",".",".","",".",".",".","2.2",".","."
"Graduate","","540","3.620","53.5","17.6","13.0","1.7","0.6","0.6","0.4","11.3","",".",".","",".","0.9","0.2","0.2","0.2","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4034","3.200","38.3","14.9","21.2","10.1","10.4","2.3","0.7","1.7","",".",".","",".","0.1","0.1","0.1","0.0","."
