"Fourth Semester Hebrew","202
001","","9","4.000","100.0",".","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Intro to Hebrew Literature","302
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Topics in Modern Hebrew Lit II","402
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"HEBR-MOD
442","Dept. Total","","31","3.931","90.3","3.2","",".","3.2","",".","",".","",".","3.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","7","3.923","85.7","14.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.778","85.7",".","",".","14.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","27","3.924","92.6","3.7","",".","3.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","31","3.931","90.3","3.2","",".","3.2","",".","",".","",".","3.2","",".",".","",".","",".","",".",".",".","."
