"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"407","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","22","3.900","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Thermal Physics","001","","57","3.158","33.3","17.5","19.3","14.0","12.3","3.5",".",".",".",".",".",".",".",".",".","."
"449
Atomic and Quantum Physics","001","","51","3.500","33.3","31.4","33.3",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"499","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"531
Intro to Quantum Mechanics","001","","41","3.122","12.2","36.6","29.3","17.1","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"535
Intro-Particle Physics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Intro to Atomic Structure","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","26","3.460","42.3","26.9","19.2",".","3.8","3.8",".","3.8",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","35","3.143","2.9","57.1","34.3",".",".",".","5.7",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","23","3.750","60.9","21.7","13.0",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"724
Waves&Instabilities-Plasmas","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","35","3.647","51.4","28.6","14.3",".","2.9",".",".",".",".",".",".",".",".",".","2.9","."
"746
Quantum Electronics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"779
Advanced Quantum Computing","001","","50","3.640","70.0","10.0","12.0","2.0","2.0","4.0",".",".",".",".",".",".",".",".",".","."
"799","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
