"INFORMATION SYSTEMS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"","322
001","44","3.568","45.5","29.5","20.5","2.3","2.3",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","322
002","40","3.600","47.5","37.5","10.0","2.5",".","2.5","",".",".","",".","",".",".","",".","","",".",".",".","."
"Introduction to Databases","Course Total","84","3.583","46.4","33.3","15.5","2.4","1.2","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","26","3.212","34.6","15.4","15.4","26.9","7.7",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","423
001","33","3.545","42.4","27.3","27.3","3.0",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","423
002","22","3.432","36.4","31.8","18.2","9.1","4.5",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Digital Platform Analytics","Course Total","55","3.500","40.0","29.1","23.6","5.5","1.8",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Systems Analysis and Design","424
001","39","3.705","51.3","38.5","10.3",".",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Text Analytics-Business App","723
010","17","3.618","47.1","29.4","23.5",".",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","765
001","7","3.929","85.7","14.3",".",".",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"INFO SYS
234","Dept. Total","228","3.555","45.6","30.3","16.7","5.3","1.8","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","15","3.533","33.3","40.0","26.7",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","58","3.362","34.5","29.3","20.7","8.6","5.2","1.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","126","3.599","47.6","31.7","14.3","5.6","0.8",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","200","3.525","42.5","32.0","17.0","6.0","2.0","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","23","3.717","60.9","21.7","17.4",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","228","3.555","45.6","30.3","16.7","5.3","1.8","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
