"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"101
Forum on the Environment","001","","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"131
Earth's Soil","002","","44","3.305","25.0","31.8","22.7","11.4",".",".","2.3","6.8",".",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","","25","3.458","52.0","12.0","20.0","4.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"230
Soil: Ecosystem & Resource","001","","63","2.710","20.6","12.7","17.5","12.7","23.8","7.9","3.2","1.6",".",".",".",".",".",".",".","."
"250
Intro to Environmental Science","001","","43","3.547","39.5","32.6","25.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","12","3.042","25.0","25.0","33.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"330
HAZWOPER 40HR/Field Safety","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","15","3.714","60.0","13.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"526
Transforming Earth Systems","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Assessment-Environ Impact","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"585
R for Soil & Environmental Sci","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Toxicants in the Environmnt","001","","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Colloquium: Envir Remed Mgmt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
