"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"140","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"140","002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Poultry","Course Total","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","118","3.282","43.2","17.8","12.7","11.0","11.0","2.5","0.8",".",".",".",".",".",".","0.8",".","."
"210
You and Your Food: Farm/Table","001","","21","3.763","52.4","33.3","4.8",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutrition","001","","42","2.810","21.4","14.3","23.8","14.3","14.3","9.5","2.4",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease","001","","86","3.779","70.9","17.4","9.3","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Microbiome-Plants/Anmls/Humans","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"344
Digital Tech Animal Monitoring","001","","25","3.780","76.0","12.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","51","2.676","19.6","3.9","35.3","9.8","15.7","13.7","2.0",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","41","3.402","46.3","17.1","22.0","4.9","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","62","3.371","50.0","12.9","19.4","3.2","11.3","3.2",".",".",".",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"400
Study Abroad-Animal Sciences","00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Microbiomes of Animal Systems","001","","32","3.375","37.5","21.9","21.9","15.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Ornithology","001","","9","3.000","22.2","22.2","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"521","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Genetic Mapping","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
