"L&S","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","646
002","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","646
003","","29","3.466","62.1","3.4","13.8","13.8","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","646
004","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","47","3.574","66.0","8.5","8.5","12.8","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","21","3.833","81.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","668
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","","22","3.818","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678
001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","","39","3.731","48.7","48.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Analytics","Course Total","","41","3.732","48.8","48.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Management for Info Prof","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","18","3.806","83.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","36","3.889","88.9","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
002","","40","3.813","67.5","30.0",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","43","3.826","69.8","27.9",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Humanities Analytics","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
002","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","855
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
005","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","27","3.977","92.6","3.7",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"PWR Seminar","925
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Info Pol, Mgmt&Institutns","931
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 295 of 486",""
