"Intermed Naval Lab II","376
001","","9","4.000","100.0",".","",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Naval Leadership and Ethics","402
001","","9","3.944","88.9","11.1","",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Advanced Naval Laboratory II","476
001","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"NAV SCI
672","Dept. Total","","64","3.885","82.8","14.1","",".","1.6","",".","",".","",".","",".","",".",".","",".","",".",".","1.6",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","20.0",".",".","."
"Sophomore","","","7","3.654","85.7",".","",".","14.3","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","14","3.833","71.4","28.6","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","40","3.937","90.0","10.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","66","3.883","83.3","13.6","",".","1.5","",".","",".","",".","",".","",".",".","",".","",".","1.5",".",".","."
"Special","","","2","***","","","","","","","","","","","","","","","",".","",".","",".",".","50.0",".","."
"","Dept. Total","","68","3.885","82.4","13.2","",".","1.5","",".","",".","",".","",".","",".",".","",".","",".","1.5","1.5",".","."
