"CHEMICAL & BIOLOGICAL ENG","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"599","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Intmed Transport Phenomena","001","","23","3.435","26.1","43.5","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"750
Adv. Chem. Proc. Syn. and Opt.","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","030","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","72","",".",".",".",".",".",".",".","84.7",".",".",".","15.3",".",".",".","."
"961
Seminar-Chem Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
