"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Botany","001","","141","3.482","48.2","24.1","14.9","7.1","3.5","1.4","0.7",".",".",".",".",".",".",".",".","."
"123
Plants, Parasites, & People","001","","90","3.826","78.9","13.3","2.2","1.1","3.3",".",".",".",".",".",".",".",".","1.1",".","."
"130
General Botany","001","","113","2.946","27.4","6.2","33.6","6.2","18.6","7.1",".","0.9",".",".",".",".",".",".",".","."
"151
Introductory Biology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"152","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"152","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","8","2.500","12.5","12.5","37.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","12","2.500","25.0",".","8.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Plant Morphology & Evolution","001","","22","3.432","50.0","13.6","27.3",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","19","3.526","52.6","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"333
Biology of the Fungi","001","","26","3.000","30.8","23.1","7.7","7.7","19.2","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"335
Microbiome-Plants/Anmls/Humans","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Vascular Flora of Wisconsin","001","","35","3.439","48.6","22.9","8.6","8.6",".","2.9","2.9","5.7",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","18","3.250","66.7","5.6",".",".","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","27","3.370","25.9","40.7","22.2","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"474
Ethnobotany","001","","40","3.705","70.0","12.5","10.0",".","2.5","2.5",".",".",".",".",".",".","2.5",".",".","."
"499","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Phylogenet Analysis-Molec Data","001","","15","3.367","66.7","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"575","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","002","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"575","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"575","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
"651
Conservation Biology","001","","17","3.471","41.2","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
