"","990
045","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
046","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
047","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","38","",".",".",".",".",".",".","",".","21.1","",".",".","",".","78.9","",".",".",".","."
"M M & I
620","Dept. Total","154","3.814","55.2","2.6","3.2","0.6","2.6","0.6","",".","15.6","",".",".","",".","19.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","20","3.896","90.0",".","10.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","48","3.821","83.3","2.1","4.2","2.1","6.3",".","",".","2.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","73","3.837","84.9","1.4","6.8","1.4","4.1",".","",".","1.4","",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","59","3.777","33.9","5.1",".",".",".","1.7","",".","11.9","",".",".","",".","47.5","",".",".",".","."
"Prof Yr 3","","8","4.000","25.0",".",".",".",".",".","",".","50.0","",".",".","",".","25.0","",".",".",".","."
"Prof Yr 4","","12","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","20","4.000","10.0",".",".",".",".",".","",".","80.0","",".",".","",".","10.0","",".",".",".","."
"","Dept. Total","154","3.814","55.2","2.6","3.2","0.6","2.6","0.6","",".","15.6","",".",".","",".","19.5","",".",".",".","."
