"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","110","2.472","19.1","12.7","17.3","13.6","10.0","18.2","8.2",".",".",".",".",".","0.9",".",".","."
"","101
002","98","2.366","17.3","7.1","15.3","10.2","22.4","23.5","3.1",".",".",".",".",".","1.0",".",".","."
"Animal Biology","Course Total","208","2.422","18.3","10.1","16.3","12.0","15.9","20.7","5.8",".",".",".",".",".","1.0",".",".","."
"","102
001","9","3.333","55.6",".","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","102
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","2.857","14.3","14.3","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","7","2.643",".",".","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
009","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
010","7","3.214","42.9","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
011","7","2.714","28.6","28.6",".",".","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"","102
013","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","11","3.182","36.4","36.4",".",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","99","3.217","34.3","20.2","25.3","5.1","11.1","3.0","1.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","68","2.912","16.2","19.1","36.8","7.4","10.3","10.3",".",".",".",".",".",".",".",".",".","."
"","152
001","100","3.490","49.0","18.0","24.0","4.0","3.0","2.0",".",".",".",".",".",".",".",".",".","."
"","152
002","107","3.241","40.2","10.3","29.0","7.5","6.5","5.6",".",".",".",".",".",".","0.9",".",".","."
"Introductory Biology","Course Total","207","3.362","44.4","14.0","26.6","5.8","4.8","3.9",".",".",".",".",".",".","0.5",".",".","."
"Introductory Biology","153
001","40","2.600","12.5","12.5","27.5","12.5","22.5","7.5","5.0",".",".",".",".",".",".",".",".","."
"","199
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Biology","200
001","20","3.525","50.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","29","3.155","31.0","10.3","31.0","13.8","13.8",".",".",".",".",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","34","3.779","76.5","2.9","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Molecular Biology","370
001","11","3.455","54.5","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
