"AMN","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","",""
"","102
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heritage and Values II","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Team, Leadrshp Fundamentals II","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadng People, Effctve Comm II","302
001","","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Leadrshp & Commissioning Prep","402
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Laboratory II","502
001","","59","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"A F AERO
102","Dept. Total","","120","3.923","47.5","2.5",".","0.8",".",".",".","49.2",".",".",".",".",".",".",".","."
