"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","65","3.677","80.0","9.2","4.6",".",".","1.5","4.6",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","46","3.304","65.2",".","17.4",".","6.5","4.3","6.5",".",".",".",".",".",".",".",".","."
"Architectural Making II","152","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Architectural Thinking","155","001","","17","3.594","52.9","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","159","001","","32","3.766","81.3","9.4","3.1",".","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","159","002","","31","3.581","64.5","25.8","3.2",".",".",".","6.5",".",".",".",".",".",".",".",".","."
"","159","003","","22","3.795","72.7","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","85","3.706","72.9","17.6","3.5","1.2","1.2","1.2","2.4",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","55","3.264","23.6","29.1","29.1","12.7","5.5",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","58","2.974","17.2","15.5","25.9","27.6","13.8",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","54","2.962","16.7","18.5","25.9","22.2","13.0",".","1.9","1.9",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","66","3.500","39.4","33.3","19.7","3.0","4.5",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engr Materials","325","001","","50","3.650","46.0","38.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","39","2.923","10.3","10.3","53.8","5.1","20.5",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","38","3.158","26.3","31.6","15.8","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","40","3.413","35.0","22.5","37.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","46","3.967","95.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","41","3.524","31.7","51.2","9.8","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","38","3.921","92.1",".","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","42","3.917","90.5","2.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Underground Openings","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","22","3.227","18.2","31.8","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Data Sensing & Analys in Cnstr","465","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","46","3.304","39.1","13.0","30.4","8.7","6.5","2.2",".",".",".",".",".",".",".",".",".","."
"Sustainable Building and Mater","495","001","","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","61","3.636","44.3","42.6","4.9","1.6","3.3",".",".","1.6",".",".",".",".",".",".","1.6","."
"Hydroclimatology","515","001","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
