"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","25","3.900","92.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","203
001","80","3.425","40.0","30.0","18.8","7.5","1.3",".","2.5",".",".",".",".",".",".",".",".","."
"","203
002","62","3.508","48.4","22.6","12.9","9.7","4.8",".",".","1.6",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","142","3.461","43.7","26.8","16.2","8.5","2.8",".","1.4","0.7",".",".",".",".",".",".",".","."
"","204
001","22","3.455","36.4","45.5","9.1",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","204
002","60","3.658","48.3","46.7",".","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","82","3.604","45.1","46.3","2.4","1.2","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","210
001","96","3.968","96.9",".",".",".",".","1.0",".",".",".",".",".",".","2.1",".",".","."
"","210
002","73","3.986","98.6",".","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","169","3.976","97.6",".","0.6",".",".","0.6",".",".",".",".",".",".","1.2",".",".","."
"","222
001","49","2.867","36.7","20.4","4.1","10.2","10.2","10.2","8.2",".",".",".",".",".",".",".",".","."
"","222
002","66","3.098","28.8","13.6","27.3","15.2","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","115","3.000","32.2","16.5","17.4","13.0","11.3","6.1","3.5",".",".",".",".",".",".",".",".","."
"","230
001","114","3.355","44.7","20.2","13.2","12.3","6.1","3.5",".",".",".",".",".",".",".",".",".","."
"","230
002","70","3.329","45.7","14.3","15.7","8.6","15.7",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","Course Total","184","3.345","45.1","17.9","14.1","10.9","9.8","2.2",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","80","3.013","13.8","25.0","27.5","22.5","8.8","2.5",".",".",".",".",".",".",".",".",".","."
"","252
001","99","3.374","46.5","22.2","11.1","10.1","6.1","3.0","1.0",".",".",".",".",".",".",".",".","."
"","252
003","87","3.443","47.1","23.0","9.2","12.6","8.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","186","3.406","46.8","22.6","10.2","11.3","7.0","1.6","0.5",".",".",".",".",".",".",".",".","."
"","270
001","61","3.574","42.6","41.0","9.8","1.6","4.9",".",".",".",".",".",".",".",".",".",".","."
"","270
002","66","3.636","48.5","34.8","13.6","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","270
003","33","3.576","42.4","42.4","9.1",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","160","3.600","45.0","38.8","11.3","1.3","3.8",".",".",".",".",".",".",".",".",".",".","."
"","271
001","25","3.440","48.0","16.0","12.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","30","3.367","36.7","16.7","33.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","55","3.400","41.8","16.4","23.6","16.4","1.8",".",".",".",".",".",".",".",".",".",".","."
"","303
001","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","47","3.787","57.4","42.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","29","3.586","79.3",".","6.9",".","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"","305
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
