"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Crime, Gender and Justice","","Course Total","","13","3.154","15.4","46.2","30.8",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Criminology","441","001","","97","2.943","28.9","23.7","14.4","6.2","14.4","8.2","4.1",".",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","","16","3.700","56.3","18.8","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Social Psych: A Sociol Persp","444","001","","33","3.273","24.2","30.3","27.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","453","001","","17","2.531","5.9","23.5","11.8","29.4","11.8",".","11.8",".",".",".",".",".","5.9",".",".","."
"Study Abroad-Social Psychology","464","00A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","475","002","","26","2.800","15.4","15.4","19.2","30.8","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"","496","002","","8","3.100","37.5","12.5",".",".",".",".","12.5","12.5",".",".",".",".",".","25.0",".","."
"","496","004","","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","496","005","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","006","","37","3.653","54.1","18.9","24.3",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","496","008","","37","2.986","29.7","5.4","37.8","8.1","8.1","10.8",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","99","3.363","45.5","13.1","24.2","4.0","4.0","4.0","1.0","2.0",".",".",".",".",".","2.0",".","."
"Study Abroad in Sociology","497","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collective Behavior","543","001","","23","3.348","47.8","17.4","17.4",".","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","25","3.630","56.0","20.0","8.0",".","8.0",".",".",".",".",".",".",".","8.0",".",".","."
"Social Network Analysis","618","001","","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Political Sociology","624","001","","6","3.333","66.7",".",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Qualitative Methods","631","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","15","3.036","13.3","26.7","20.0","20.0","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"Sociology of Agriculture","650","001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Demographic Techniques I","674","001","","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","692","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intermed Political Sociol","724","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755","002","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intermediate Classical Theory","773","001","","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 354 of 486",""
