"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"151
Materials of the Modern World","001","","33","3.682","72.7","15.2","6.1",".",".","6.1",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","24","3.083","29.2","12.5","25.0","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","28","3.179","10.7","32.1","39.3","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"350","001","","104","3.298","37.5","24.0","19.2","8.7","6.7","2.9","1.0",".",".",".",".",".",".",".",".","."
"350","002","","102","3.225","22.5","26.5","32.4","12.7","4.9","1.0",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","Course Total","","206","3.262","30.1","25.2","25.7","10.7","5.8","1.9","0.5",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","16","3.125","31.3","18.8","18.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"361
Kinetics & Thermodynamics Lab","001","","16","3.500","37.5","37.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"401","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","53","3.972","98.1",".",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"401","003","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","010","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","86","3.854","82.6","11.6","4.7","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","20","3.125","10.0","45.0","20.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"460
Intro Comp Mat Sci and Eng","001","","28","3.625","46.4","35.7","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"465
Fundamentals-Heat Treatment","001","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Structure of Materials","001","","32","3.578","43.8","28.1","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","23","3.717","60.9","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Mesoscale Modeling of Material","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.960","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Matls Sci-Phase Transfm","001","","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
