"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","90","3.889","81.1","15.6","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","94","3.840","77.7","13.8","7.4","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","95","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","95","3.679","58.9","25.3","10.5","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","95","3.784","66.3","24.2","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Diag Pathology","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","013","","185","",".",".",".",".",".",".",".","97.8",".",".",".",".","2.2",".",".","."
"675","016","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","229","",".",".",".",".",".",".",".","98.3",".",".",".",".","1.7",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","4.000","73.7",".",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"812
Rsch Ethics&Career Development","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
