"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","7","3.571","28.6","57.1","14.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","12","3.760","58.3","33.3","8.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","21","3.548","42.9","23.8","33.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","42","3.624","45.2","33.3","21.4",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","37","4.000","70.3",".",".",".",".",".","",".","29.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","127","3.870","78.7","18.1","2.4",".","0.8",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","93","3.774","65.6","24.7","8.6","1.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","193","3.635","53.9","26.4","15.0","3.6","0.5","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","413","3.757","64.2","23.5","9.7","1.9","0.5","0.2","",".",".","",".",".","",".","",".","",".",".",".","."
