"Seminar: Literature Questions","947
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
035","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
037","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"FRENCH
400","Dept. Total","564","3.668","63.8","21.5","7.4","3.0","1.6","0.9","0.7","0.9","",".",".","",".","0.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.631","54.5","24.2","12.1","9.1",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","151","3.610","60.9","22.5","8.6","4.0","0.7","2.6","0.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","163","3.662","63.2","22.1","7.4","3.7","3.1",".","0.6",".","",".",".","",".",".","",".",".",".","."
"Senior","","176","3.710","68.2","21.0","5.1","1.1","1.7","0.6","1.1","1.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","523","3.659","63.7","22.0","7.3","3.3","1.7","1.0","0.8","0.4","",".",".","",".",".","",".",".",".","."
"Special","","6","3.750","66.7",".","16.7",".",".",".",".","16.7","",".",".","",".",".","",".",".",".","."
"Graduate","","35","3.820","65.7","17.1","8.6",".",".",".",".","5.7","",".",".","",".","2.9","",".",".",".","."
"","Dept. Total","564","3.668","63.8","21.5","7.4","3.0","1.6","0.9","0.7","0.9","",".",".","",".","0.2","",".",".",".","."
