"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","18","3.694","83.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","102
003","","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","Course Total","","53","3.660","69.8","9.4","13.2","5.7",".",".","1.9",".",".",".",".",".",".",".",".","."
"","104
001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","","15","3.733","73.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","","12","3.083","25.0","33.3","16.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","104
005","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
006","","11","3.700","54.5","18.2","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Second Semester Japanese","Course Total","","77","3.664","62.3","18.2","13.0","1.3","2.6","1.3",".","1.3",".",".",".",".",".",".",".","."
"","106
001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
004","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Korean","Course Total","","39","3.744","66.7","17.9","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Elem Japanese","113
001","","24","3.783","79.2","8.3","4.2",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"Second Semester Filipino","124
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","126
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","128
001","","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","128
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","Course Total","","8","3.375","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","130
001","","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","130
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","Course Total","","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","132
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hindi","134
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","138
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","140
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","","25","3.780","76.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","Course Total","","46","3.815","78.3","8.7","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","13","3.500","53.8","23.1","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","18","3.472","44.4","27.8","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","16","3.667","68.8","12.5",".",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","Course Total","","47","3.543","55.3","21.3","6.4","4.3","10.6",".",".","2.1",".",".",".",".",".",".",".","."
"","206
001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","206
002","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fourth Semester Korean","Course Total","","25","3.833","72.0","16.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
