"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","98","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","200
002","102","",".",".",".",".",".",".",".",".",".","99.0",".",".",".",".","1.0","."
"Finance Industry Fundamentals","Course Total","200","",".",".",".",".",".",".",".",".",".","99.5",".",".",".",".","0.5","."
"","205
001","55","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"","205
002","60","",".",".",".",".",".",".",".",".",".","86.7","11.7",".",".",".","1.7","."
"Financial Modeling in Excel","Course Total","115","",".",".",".",".",".",".",".",".",".","92.2","7.0",".",".",".","0.9","."
"","300
001","60","3.058","8.3","35.0","33.3","13.3","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"","300
002","186","3.293","13.4","44.1","33.3","7.0","1.6","0.5",".",".",".",".",".",".",".",".",".","."
"","300
003","122","3.238","26.2","33.6","18.0","12.3","6.6","3.3",".",".",".",".",".",".",".",".",".","."
"","300
004","123","3.179","27.6","36.6","8.1","12.2","10.6","3.3","1.6",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","491","3.222","19.6","38.5","23.2","10.4","5.7","2.2","0.4",".",".",".",".",".",".",".",".","."
"","305
001","39","3.474","43.6","20.5","23.1","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","58","3.509","41.4","31.0","20.7","1.7","5.2",".",".",".",".",".",".",".",".",".",".","."
"","305
003","42","3.524","47.6","28.6","16.7",".","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","305
004","30","3.500","36.7","33.3","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
005","57","3.465","35.1","38.6","14.0","8.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","226","3.493","40.7","31.0","19.0","5.8","3.1","0.4",".",".",".",".",".",".",".",".",".","."
"","320
001","24","3.386","25.0","50.0",".","12.5",".","4.2",".","8.3",".",".",".",".",".",".",".","."
"","320
002","44","3.432","47.7","25.0","13.6","6.8","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","320
003","34","3.652","44.1","38.2","14.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","320
004","40","3.526","35.0","35.0","25.0","2.5",".",".",".",".",".",".",".",".",".",".","2.5","."
"","320
005","48","3.510","31.3","41.7","25.0","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","190","3.505","37.4","36.8","17.4","4.2","0.5","1.1","0.5","1.6",".",".",".",".",".",".","0.5","."
"","325
001","46","3.348","32.6","26.1","26.1","8.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","325
002","58","3.526","39.7","36.2","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","325
003","54","3.454","46.3","24.1","14.8","7.4","5.6","1.9",".",".",".",".",".",".",".",".",".","."
"","325
004","60","3.075","38.3","13.3","16.7","5.0","18.3","8.3",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","218","3.346","39.4","24.8","18.3","6.0","8.7","2.8",".",".",".",".",".",".",".",".",".","."
"","330
001","60","3.400","31.7","45.0","8.3","8.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","330
002","56","3.268","41.1","10.7","28.6","7.1","8.9","3.6",".",".",".",".",".",".",".",".",".","."
"","330
003","36","3.000","11.1","33.3","25.0","16.7","2.8","8.3",".","2.8",".",".",".",".",".",".",".","."
"","330
004","36","3.333","27.8","27.8","30.6","11.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","188","3.273","29.8","29.3","21.8","10.1","4.8","3.7",".","0.5",".",".",".",".",".",".",".","."
"Fixed Income Securities","340
001","25","3.460","40.0","24.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","365
001","28","3.464","25.0","50.0","21.4",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","365
002","28","3.536","25.0","57.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","65","3.569","35.4","46.2","16.9",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","25","3.320","28.0","32.0","20.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","420
001","23","3.682","47.8","34.8","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","420
002","30","3.350","23.3","36.7","30.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","53","3.490","34.0","35.8","22.6","3.8","1.9",".",".","1.9",".",".",".",".",".",".",".","."
