"FOREST AND WILDLIFE ECOLO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","65","",".",".",".",".",".",".",".","53.8",".",".",".","46.2",".",".",".","."
"999
Advanced Independent Study","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"F&W ECOL
396","Dept. Total","","496","3.564","51.6","16.1","9.9","3.6","3.8",".","0.6","7.5",".",".",".","6.0","0.6",".","0.2","."
