"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","443","3.813","78.6","12.4","6.5","0.9","0.5",".","0.9",".",".",".",".",".",".",".","0.2","."
"Climate and Climate Change","102","001","44","3.405","36.4","27.3","9.1","4.5","2.3","2.3","2.3","15.9",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","56","3.500","33.9","37.5","8.9","7.1","3.6",".",".","8.9",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","72","3.381","34.7","27.8","20.8","4.2","1.4","2.8","1.4","5.6",".",".",".",".",".","1.4",".","."
"Evolution and Extinction","110","001","147","3.293","35.4","19.7","14.3","13.6","10.9",".",".","6.1",".",".",".",".",".",".",".","."
"Monitoring Earth by Satellite","118","001","48","3.106","31.3","18.8","20.8","6.3","14.6","6.3",".",".",".",".",".",".",".","2.1",".","."
"Life in the Universe","160","001","38","3.045","21.1","5.3","13.2","10.5","2.6","2.6","2.6","42.1",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","23","3.318","13.0","52.2","17.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Geomorphology","320","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331","001","243","3.412","51.4","15.6","9.1","6.6","5.3","5.3","0.4","0.4",".",".",".",".",".","5.8",".","."
"","331","002","49","3.625","53.1","28.6","8.2","4.1","4.1",".",".","2.0",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","","Course Total","292","3.475","51.7","17.8","8.9","6.2","5.1","4.5","0.3","0.7",".",".",".",".",".","4.8",".","."
"Intro Geophysics:Dynmic  Earth","350","001","11","3.591","54.5","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","13","3.385","38.5","7.7","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","376","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","41","3.646","70.7","19.5","2.4","2.4",".",".","4.9",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","22","3.571","40.9","31.8","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Sedimentology and Stratigraphy","430","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Structural Geology","455","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.591","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 258 of 486",""
