"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","25","2.900","20.0","16.0","32.0","4.0","20.0","8.0",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102
001","12","3.417","66.7","16.7",".",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","10","3.500","80.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","86","3.756","68.6","16.3","12.8","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","33","3.924","90.9","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","21","3.738","61.9","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","240
002","37","3.851","83.8","8.1","5.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","240
003","21","3.024","23.8","9.5","42.9","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","240
011","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","91","3.714","75.8","5.5","12.1","3.3","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Eating Asian America","250
002","24","3.864","70.8","16.7","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Amer Women Writers","464
001","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","540
001","44","3.605","70.5","11.4","4.5","2.3","2.3","6.8",".",".",".",".",".",".","2.3",".",".","."
"Ind Study:Directed Readings","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","361","3.677","69.8","12.5","9.1","2.2","3.0","1.9","0.6","0.6",".",".",".",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.451","57.1","17.9","10.7",".","7.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"Sophomore","","92","3.724","71.7","14.1","7.6","2.2","1.1","3.3",".",".",".",".",".",".",".",".",".","."
"Junior","","100","3.682","69.0","14.0","9.0","4.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Senior","","138","3.694","73.2","9.4","9.4","1.4","4.3","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"Undergraduates","","358","3.679","70.4","12.6","8.9","2.2","3.1","2.0","0.6",".",".",".",".",".","0.3",".",".","."
"Special","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","361","3.677","69.8","12.5","9.1","2.2","3.0","1.9","0.6","0.6",".",".",".",".","0.3",".",".","."
