"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","16","3.875","87.5","6.3","6.3","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","70","3.969","94.3","2.9","2.9","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","93","3.956","93.5","3.2","3.2","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Graduate","241","3.809","64.3","22.0","2.9","",".","1.2","",".","",".","9.1","",".",".","",".","",".","",".",".","0.4","."
"Prof Yr 3","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
