"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"731
Research in Progress Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"745","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"745","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grant Writing for Research","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","087","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","088","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","40","",".",".",".",".",".",".",".","95.0",".",".",".","5.0",".",".",".","."
