"","990
016","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
017","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
018","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research in Genetic Counseling","Course Total","","8","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"GENECSLR
413","Dept. Total","","80","3.857","63.8","13.8","2.5",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"413
GENECSLR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","","42","3.892","69.0","14.3","2.4",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","31","3.821","58.1","9.7","3.2",".","",".","",".","",".","29.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","7","3.850","57.1","28.6",".",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Professionals","","","80","3.857","63.8","13.8","2.5",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","80","3.857","63.8","13.8","2.5",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
