"EDU","","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"SE Practicum: Early Child-Elem","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
001","","35","3.857","80.0","11.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","Course Total","","44","3.863","81.8","11.4","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","Course Total","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","22","3.841","86.4",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","40","3.963","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","80","3.981","97.5","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","","17","3.529","64.7",".","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Partnering w/ Families","510
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Mgmt & Community Resource","520
001","","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Education Foundations","605
001","","21","3.900","85.7",".","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","630
020","","17","3.855","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
191","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
192","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","29","3.911","82.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"Special Topics","660
104","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research or Thesis","690
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh & MH Cnslg-Assessment","720
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Career Devel","725
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Med & Psychsoc","750
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Spec Education","872
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mixed Methods Inq Disability","875
001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","910
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
002","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Teaching","930
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Supv Research","940
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","941
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 85 of 486",""
