"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","11","3.680","72.7","9.1","9.1","9.1",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","108","3.874","90.7","4.6","2.8","0.9",".","0.9",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","120","3.857","89.2","5.0","3.3","1.7",".","0.8",".",".","",".",".","",".",".",".",".",".","."
"Special","19","3.041","47.4","15.8","10.5",".","5.3","5.3","5.3","5.3","",".",".","",".",".",".",".","5.3","."
"Graduate","336","3.850","48.8","8.9","3.0","0.3","0.3",".",".","17.9","",".","18.5","",".","1.8","0.6",".",".","."
"Prof Yr 1","253","3.544","47.8","23.7","21.3","3.6","2.8","0.4",".",".","",".",".","",".",".","0.4",".",".","."
"Prof Yr 2","191","3.683","59.2","19.9","14.7","6.3",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","8","3.750","87.5",".",".",".","12.5",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","452","3.601","53.3","21.7","18.1","4.6","1.8","0.2",".",".","",".",".","",".",".","0.2",".",".","."
