"SLAVIC (SLAVIC LANGUAGES)","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","","",""
"Indiv Research-Slavic Lit","Course Total","10","",".",".",".",".",".","",".",".","40.0","",".",".","",".","50.0","10.0",".",".","."
"SLAVIC
888","Dept. Total","186","3.626","51.1","19.4","8.6","2.7","1.1","",".","1.1","3.2","",".",".","",".","2.7","2.2","1.6","6.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","3.134","45.5","18.2","9.1","18.2",".","",".","9.1",".","",".",".","",".",".",".",".",".","."
"Sophomore","","35","3.650","45.7","40.0","5.7","5.7",".","",".",".",".","",".",".","",".",".","2.9",".",".","."
"Junior","","26","3.705","53.8","30.8","15.4",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","57","3.589","63.2","17.5","12.3","1.8","3.5","",".","1.8",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","129","3.589","55.0","26.4","10.9","3.9","1.6","",".","1.6",".","",".",".","",".",".","0.8",".",".","."
"Special","","17","3.500",".","5.9",".",".",".","",".",".","5.9","",".",".","",".",".",".","17.6","70.6","."
"Graduate","","37","3.898","62.2",".","5.4",".",".","",".",".","10.8","",".",".","",".","13.5","8.1",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","186","3.626","51.1","19.4","8.6","2.7","1.1","",".","1.1","3.2","",".",".","",".","2.7","2.2","1.6","6.5","."
