"L&S","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
Dept. Total
944","370","3.841","77.3","12.7","3.0","1.9","0.8","",".","0.3","2.4","",".",".","",".","",".","1.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","34","3.897","91.2","2.9",".","5.9",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","66","3.886","93.9","1.5","3.0",".",".","",".","1.5",".","",".",".","",".","",".",".",".",".","."
"Junior","35","3.761","68.6","20.0","5.7","5.7",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","94","3.797","70.2","21.3","4.3","1.1","2.1","",".",".",".","",".",".","",".","",".","1.1",".",".","."
"Undergraduates","229","3.832","79.9","12.7","3.5","2.2","0.9","",".","0.4",".","",".",".","",".","",".","0.4",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","139","3.861","73.4","12.2","2.2","1.4","0.7","",".",".","6.5","",".",".","",".","",".","3.6",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","370","3.841","77.3","12.7","3.0","1.9","0.8","",".","0.3","2.4","",".",".","",".","",".","1.6",".",".","."
