"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","136","3.089","18.4","22.1","33.8","11.8","11.8","1.5",".",".",".",".",".",".","0.7",".",".","."
"","240
002","141","3.371","34.0","24.8","27.0","9.2","3.5","0.7",".",".",".",".",".",".","0.7",".",".","."
"","240
003","139","3.254","30.2","18.0","31.7","10.8","8.6",".",".","0.7",".",".",".",".",".",".",".","."
"","240
004","141","3.252","26.2","19.1","40.4","8.5","5.0","0.7",".",".",".",".",".",".",".",".",".","."
"","240
005","133","3.155","30.8","18.8","25.6","12.0","6.8","3.8","1.5",".",".",".",".",".","0.8",".",".","."
"Data Science Modeling I","Course Total","690","3.226","28.0","20.6","31.7","10.4","7.1","1.3","0.3","0.1",".",".",".",".","0.4",".",".","."
"","301
002","135","2.918","26.7","11.9","24.4","10.4","17.8","6.7","1.5",".",".",".",".",".",".","0.7",".","."
"","301
003","127","2.898","25.2","10.2","19.7","15.0","27.6","1.6","0.8",".",".",".",".",".",".",".",".","."
"","301
004","132","2.913","28.8","9.8","19.7","15.2","19.7","5.3","1.5",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","394","2.910","26.9","10.7","21.3","13.5","21.6","4.6","1.3",".",".",".",".",".",".","0.3",".","."
"","303
001","42","3.726","76.2","11.9","7.1",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","303
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","79","3.865","87.3","6.3","2.5",".","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"","303
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics I","Course Total","131","3.831","84.7","7.6","3.8",".","0.8","1.5","0.8","0.8",".",".",".",".",".",".",".","."
"","304
003","51","3.740","72.5","7.8","11.8","3.9","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","304
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics II","Course Total","58","3.763","74.1","8.6","10.3","3.4","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"","305
003","32","3.839","78.1","9.4","6.3","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"","305
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","35","3.853","80.0","8.6","5.7","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","52","3.404","44.2","13.5","30.8","5.8","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","55","3.273","43.6","12.7","21.8","5.5","12.7","3.6",".",".",".",".",".",".",".",".",".","."
"","311
001","65","3.138","33.8","9.2","29.2","15.4","9.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"","311
002","70","3.203","22.9","27.1","27.1","12.9","7.1","1.4",".",".",".",".",".",".","1.4",".",".","."
"","311
003","70","3.279","37.1","15.7","28.6","8.6","7.1","2.9",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","205","3.208","31.2","17.6","28.3","12.2","7.8","2.0","0.5",".",".",".",".",".","0.5",".",".","."
"Intro Math Stat (Theo,Meth) II","312
001","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","324
001","128","2.996","31.3","9.4","18.8","14.8","23.4","1.6","0.8",".",".",".",".",".",".",".",".","."
"","324
002","124","2.875","21.0","12.9","22.6","16.9","21.8","4.8",".",".",".",".",".",".",".",".",".","."
"","324
003","131","2.973","26.0","11.5","24.4","18.3","16.0","2.3","1.5",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","383","2.949","26.1","11.2","21.9","16.7","20.4","2.9","0.8",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","59","3.836","84.7","8.5","1.7",".","1.7",".","1.7",".",".",".",".",".","1.7",".",".","."
"","340
001","110","2.705","17.3","5.5","32.7","13.6","21.8","6.4","2.7",".",".",".",".",".",".",".",".","."
"","340
002","135","3.085","37.8","5.9","22.2","15.6","13.3","4.4","0.7",".",".",".",".",".",".",".",".","."
"","340
003","114","2.925","26.3","10.5","21.9","16.7","20.2","2.6","1.8",".",".",".",".",".",".",".",".","."
"","340
004","93","3.005","24.7","11.8","24.7","21.5","15.1","2.2",".",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","452","2.936","27.2","8.2","25.2","16.6","17.5","4.0","1.3",".",".",".",".",".",".",".",".","."
"","351
001","58","3.457","29.3","37.9","27.6","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Nonparametric Stats","Course Total","61","3.484","32.8","36.1","26.2","4.9",".",".",".",".",".",".",".",".",".",".",".","."
