"","990
274","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
278","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
279","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","58","",".",".",".",".",".",".",".","89.7","",".",".","",".","10.3",".",".",".","."
"MATH
600","Dept. Total","7790","2.990","32.0","12.2","24.3","7.7","13.5","5.5","2.3","0.8","",".","0.6","",".","0.1","0.7","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","942","2.729","21.1","11.7","26.0","9.3","17.9","8.9","4.4",".","",".",".","",".",".","0.6",".",".","."
"Sophomore","","3005","2.957","29.5","11.8","27.2","8.1","15.1","5.6","2.1",".","",".",".","",".",".","0.7",".",".","."
"Junior","","1863","2.957","28.0","14.2","26.0","8.6","13.7","5.7","2.6","0.1","",".","0.3","",".",".","0.9",".",".","."
"Senior","","1235","3.025","31.9","12.9","23.6","7.2","13.3","5.5","1.9","0.6","",".","1.7","",".","0.1","1.0","0.3",".","."
"Undergraduates","","7045","2.934","28.4","12.6","26.1","8.2","14.8","6.0","2.5","0.1","",".","0.4","",".","0.0","0.8","0.1",".","."
"Special","","204","3.601","62.7","10.8","10.3","3.4","3.9","2.0","0.5","0.5","",".","3.4","",".",".","0.5",".","2.0","."
"Graduate","","541","3.750","67.1","7.0","6.3","2.8","1.1","0.6","0.7","10.2","",".","2.6","",".","1.1",".","0.2","0.4","."
"","Dept. Total","7790","2.990","32.0","12.2","24.3","7.7","13.5","5.5","2.3","0.8","",".","0.6","",".","0.1","0.7","0.1","0.1","."
