"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","205","3.219","21.5","30.2","22.9","19.0","5.4",".",".",".",".",".",".",".","0.5","0.5",".","."
"","101
002","305","3.123","19.0","25.2","26.9","23.0","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"","101
003","331","3.237","31.7","28.7","17.8","7.9","9.7","3.9","0.3",".",".",".",".",".",".",".",".","."
"","101
004","246","3.014","22.8","20.3","19.9","19.9","13.0","3.7","0.4",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1087","3.151","24.2","26.1","21.8","16.9","8.0","2.6","0.2",".",".",".",".",".","0.1","0.1",".","."
"","102
001","118","3.263","28.0","26.3","21.2","15.3","7.6",".",".",".",".",".",".",".",".",".","1.7","."
"","102
002","373","3.629","67.3","10.7","14.2","2.4","2.9","1.6","0.8",".",".",".",".",".",".",".",".","."
"","102
003","213","3.347","37.6","27.7","18.8","6.1","6.6","2.8","0.5",".",".",".",".",".",".",".",".","."
"","102
004","20","3.050","15.0","35.0","15.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","724","3.474","50.7","18.9","16.7","5.9","5.2","1.7","0.6",".",".",".",".",".",".",".","0.3","."
"Quant Tools for Economics","205
001","44","3.523","40.9","40.9","2.3","13.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","11","3.227","18.2","45.5","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","300
002","9","3.278","22.2","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","29","3.293","24.1","37.9","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","301
001","71","3.007","23.9","16.9","21.1","18.3","14.1","4.2",".",".",".",".",".",".","1.4",".",".","."
"","301
002","123","3.037","22.8","22.0","23.6","17.9","8.1","4.1","1.6",".",".",".",".",".",".",".",".","."
"","301
003","162","3.236","26.5","27.8","24.7","9.3","9.9","1.2",".",".",".",".",".",".","0.6",".",".","."
"Intmed Microeconomic Theory","Course Total","356","3.121","24.7","23.6","23.6","14.0","10.1","2.8","0.6",".",".",".",".",".","0.6",".",".","."
"","302
001","185","3.511","34.6","37.8","22.7","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","95","2.989","18.9","29.5","23.2","10.5","8.4","4.2","4.2",".",".",".",".",".",".","1.1",".","."
"Intmed Macroeconomic Theory","Course Total","280","3.335","29.3","35.0","22.9","6.8","2.9","1.4","1.4",".",".",".",".",".",".","0.4",".","."
"","306
001","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","44","3.943","90.9","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","309
00A","8","3.545","50.0","12.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","309
00B","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","309
00C","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","Course Total","11","3.629","54.5","18.2","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","310
001","150","3.217","31.3","14.0","31.3","13.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"","310
002","207","3.027","24.6","20.3","20.3","17.9","13.0","1.4","2.4",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","357","3.106","27.5","17.6","24.9","16.0","11.8","0.8","1.4",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","39","3.632","43.6","41.0","7.7","5.1",".",".",".",".",".",".",".",".","2.6",".",".","."
"Data Visualization for Econ","315
001","46","3.174","28.3","30.4","17.4","8.7","10.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
