"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Cen Asia: Silk Route-Afghan","265","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","432","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","432","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Kazakh","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Fourth Semester Turkish","440","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","471","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","471","00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Sixth Semester Kazakh","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Proseminar","700","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GNS
425","","Dept. Total","","26","3.817","80.8","15.4",".",".",".","3.8",".",".",".",".",".",".",".",".",".","."
