"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Intro-Artificl Neural Ntwrks","539","001","","26","3.660","50.0","30.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Adv Com Circuit Dsgn","547","001","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","19","3.132","15.8","31.6","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","81","2.962","17.3","21.0","16.0","25.9","16.0","1.2",".",".",".",".",".",".","1.2","1.2",".","."
"Intro-Computer Architecture","552","001","","85","3.655","55.3","29.4","5.9","5.9","2.4",".",".",".",".",".",".",".","1.2",".",".","."
"Testing Desgn - Digital Sys","553","001","","46","3.533","50.0","19.6","23.9","4.3",".","2.2",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","22","3.614","63.6","13.6","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Ethics of Data for Engineers","570","001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Printed & Flexible Electronics","576","001","","18","3.824","66.7","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Intro to Doctoral Research","611","002","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","712","001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712","004","","37","3.892","78.4","21.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Power Conversn","","Course Total","","51","3.843","68.6","31.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrmgntc Dsgn-AC Machins","713","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wireless Communications","736","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Digital Image Processng","738","001","","25","3.440","48.0","16.0","32.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Computatnl Meth-Electromagntcs","742","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantum Electronics","746","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design","755","001","","37","3.595","45.9","27.0","27.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","51","3.676","60.8","21.6","9.8","7.8",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr","759","001","","47","3.979","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","12","3.182","8.3","66.7","8.3",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 133 of 486",""
