"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Textile Design","101","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"What is Design?","123","001","","58","3.718","63.8","13.8","13.8","1.7","1.7",".",".","1.7",".",".",".",".","1.7","1.7",".","."
"Vis Thinking - Form and Space","140","001","","83","3.602","72.3","9.6","7.2",".","7.2","1.2","2.4",".",".",".",".",".",".",".",".","."
"Vis Thinking- Pixels & Pencils","150","001","","31","3.274","58.1","6.5","12.9","3.2","9.7","6.5","3.2",".",".",".",".",".",".",".",".","."
"Sewn Construction II","154","001","","32","3.609","62.5","9.4","21.9",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","66","3.939","98.5",".",".",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"","225","001","","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225","002","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","","Course Total","","21","3.714","66.7","9.5","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.458","66.7","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Textile Embellishment I","228","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","240","002","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","","Course Total","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","001","","16","3.625","62.5","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","242","002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","","Course Total","","32","3.766","75.0","9.4","12.5",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","31","3.317","22.6","35.5","22.6","12.9","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","","31","3.419","64.5","12.9","9.7",".","3.2","3.2","6.5",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","24","3.630","41.7","37.5","16.7",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Interior Design II","322","001","","31","3.726","64.5","16.1","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","341","001","","26","3.769","69.2","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","39","3.592","43.6","43.6","5.1",".","2.6","2.6",".",".",".",".",".",".",".",".","2.6","."
"Design-Related Intl Experience","361","00A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Arch. & Interiors II","422","001","","32","3.625","46.9","34.4","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Embellishment II","428","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","19","3.694","47.4","36.8","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","501","001","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","32","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Development","519","001","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Environments of Crisis & Desgn","521","001","","7","3.429","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Global Artisans","527","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Creative Practice","529","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Control Systems","549","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Virtual Reality","579","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 170 of 486",""
