"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6194","3.037","29.9","13.8","22.0","9.6","12.4","3.9","0.9","5.7","0.1","1.2","",".","0.1","0.2","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","481","2.776","14.3","13.7","27.0","18.7","19.1","5.8","0.8",".",".",".","",".",".","0.4",".",".","."
"Sophomore","","1958","3.037","26.0","17.0","27.2","11.5","13.1","4.6","0.6",".",".",".","",".",".","0.1",".",".","."
"Junior","","1791","2.977","27.1","14.1","25.7","10.4","16.5","4.4","1.4",".",".",".","",".",".","0.3","0.1",".","."
"Senior","","1126","3.180","43.4","13.4","18.7","8.0","10.5","3.9","1.4","0.1",".","0.1","",".","0.2","0.4",".",".","."
"Undergraduates","","5356","3.014","29.0","15.0","24.9","11.0","14.2","4.5","1.0","0.0",".","0.0","",".","0.0","0.2","0.0",".","."
"Special","","20","3.102","20.0","25.0","20.0","10.0","20.0",".",".",".",".",".","",".",".",".",".","5.0","."
"Graduate","","974","3.731","46.4","4.8","2.7","0.4","0.1","0.1","0.2","36.2","0.8","7.7","",".","0.2","0.2",".","0.1","."
"","Dept. Total","6350","3.037","31.6","13.4","21.5","9.4","12.1","3.8","0.9","5.6","0.1","1.2","",".","0.1","0.2","0.0","0.0","."
