"AFRICAN AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro to AfroAm Studies","101","001","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102","001","29","3.828","75.9","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","222","3.957","96.4","1.4","0.9",".","0.5",".","0.5","0.5",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","293","3.850","78.2","14.7","3.4","0.3","0.3",".","0.7","1.7",".",".",".",".","0.7",".",".","."
"Intro to Black Women's Studies","221","001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","22","3.700","63.6","13.6","4.5","4.5","4.5",".",".",".",".",".",".",".","9.1",".",".","."
"Masterpieces of Afro Amer Lit","227","001","27","3.759","59.3","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","20","3.211","35.0","35.0","10.0","5.0",".",".","10.0",".",".",".",".",".","5.0",".",".","."
"Intro-Africn Art&Architectr","241","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","30","3.845","76.7","10.0","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Topics in African Amer Studies","270","003","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","271","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","002","12","3.750","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271","003","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","004","49","3.306","42.9","26.5","12.2","6.1","4.1","6.1","2.0",".",".",".",".",".",".",".",".","."
"","271","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","77","3.468","51.9","24.7","9.1","6.5","2.6","3.9","1.3",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","27","3.960","85.2","7.4",".",".",".",".",".",".",".",".",".",".","3.7","3.7",".","."
"Africa: Introductory Survey","277","001","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Feminisms","333","001","22","3.636","59.1","36.4",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Civil Rights","435","001","19","3.500","36.8","21.1","36.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Major Authors","525","001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673","001","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","673","002","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","","Course Total","16","3.688","75.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Research and Thesis","790","080","3","***","","","","","","","","","",".",".",".",".",".",".","."
