"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Law and Public Education","542
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exp in teaching & learning","662
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Seminar in Teaching","663
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Field Experience-Ed Ldrship","700
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","710
001","","16","3.281","62.5","12.5","6.3","6.3",".",".","12.5",".",".",".",".",".",".",".",".","."
"","710
002","","19","3.722","68.4","10.5","10.5",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Athletics Administration","Course Total","","35","3.515","65.7","11.4","8.6","2.9","2.9",".","5.7",".",".",".",".",".","2.9",".",".","."
"Intro to Qualitative Research","719
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lead and Justice in Sports","751
001","","24","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Psych and Coaching in Sports","753
001","","21","3.974","85.7","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".","4.8","."
"","755
001","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","","25","3.813","72.0","12.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Coaching Athletics 2: Bell Cow","Course Total","","53","3.894","84.9","5.7","7.5",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Community Opportunity Justice","770
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","777
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","777
002","","19","3.882","73.7","10.5","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"HPE Capstone Seminar","Course Total","","22","3.900","77.3","9.1","4.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Intro Quant Inquiry in Educ","822
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","824
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","824
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","Course Total","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resource Allocation & Equity","832
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Leadershp-Inclusive Schling","835
001","","6","3.500","83.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","840
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","Course Total","","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","844
001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","844
002","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Leadership","Course Total","","36","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobility Inclusion Global HE","856
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Identity & Development","883
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leader Stud Abrd Intl Stdt Svc","885
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment in Higher Education","888
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890
012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","14","4.000","78.6",".",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"","900
002","","10","3.875","70.0",".","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 96 of 486",""
