"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Machine Organizatn&Progrmng","Course Total","479","3.243","34.2","20.3","23.4","9.8","9.2","2.1","0.6",".",".",".",".",".","0.4",".",".","."
"","368
001","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
002","89","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"","368
003","32","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"Learn a Programming Language","Course Total","169","",".",".",".",".",".",".",".",".",".","97.6","2.4",".",".",".",".","."
"","400
001","173","3.373","30.1","32.9","26.0","8.1","1.2","1.2","0.6",".",".",".",".",".",".",".",".","."
"","400
002","170","3.185","33.5","22.9","23.5","9.4","3.5","2.9","4.1",".",".",".",".",".",".",".",".","."
"","400
003","176","3.380","35.2","27.3","28.4","4.0","1.7","1.1","1.7",".",".",".",".",".","0.6",".",".","."
"","400
004","153","3.204","25.5","24.8","34.0","6.5","3.9","3.3","1.3",".",".",".",".",".","0.7",".",".","."
"Programming III","Course Total","672","3.289","31.3","27.1","27.8","7.0","2.5","2.1","1.9",".",".",".",".",".","0.3",".",".","."
"Introducing Comp Sci to K-12","402
001","29","3.879","82.8","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","70","3.143","27.1","20.0","25.7","17.1","7.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"Intro to Web Development","472
001","30","3.667","66.7","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","13","3.269","30.8","23.1","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","475
002","12","3.250","41.7","16.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","475
003","11","3.409","45.5","9.1","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","36","3.306","38.9","16.7","25.0","5.6","13.9",".",".",".",".",".",".",".",".",".",".","."
"CS Education","502
001","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","52","3.606","44.2","34.6","19.2","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","69","3.486","40.6","30.4","20.3","2.9","5.8",".",".",".",".",".",".",".",".",".",".","."
"","506
003","43","3.663","62.8","20.9","7.0","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","Course Total","164","3.570","47.6","29.3","16.5","3.0","3.7",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","21","3.071","28.6","19.0","23.8","4.8","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","11","3.278","36.4","27.3","9.1",".",".",".","9.1",".",".",".",".",".","9.1","9.1",".","."
"Intro to Theory of Computing","520
001","58","2.789","20.7","15.5","13.8","8.6","34.5","5.2",".",".","1.7",".",".",".",".",".",".","."
"","524
001","55","3.375","32.7","23.6","23.6","10.9","3.6",".",".","5.5",".",".",".",".",".",".",".","."
"","524
002","61","3.377","37.7","21.3","19.7","21.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","Course Total","116","3.376","35.3","22.4","21.6","16.4","1.7",".",".","2.6",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","34","3.235","35.3","17.6","26.5","5.9","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"","532
001","55","3.000","18.2","7.3","49.1","14.5","7.3","3.6",".",".",".",".",".",".",".",".",".","."
"","532
002","10","3.667","50.0","30.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","65","3.094","23.1","10.8","41.5","13.8","6.2","3.1",".",".","1.5",".",".",".",".",".",".","."
"","536
001","98","3.172","36.7","24.5","14.3","7.1","6.1","5.1","4.1","1.0",".",".",".",".","1.0",".",".","."
"","536
010","30","3.683","53.3","30.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","Course Total","128","3.294","40.6","25.8","14.8","5.5","4.7","3.9","3.1","0.8",".",".",".",".","0.8",".",".","."
"","537
001","167","3.415","36.5","33.5","13.8","10.2","2.4","2.4",".","0.6",".",".",".",".","0.6",".",".","."
"","537
002","155","3.265","29.7","31.6","14.8","13.5","9.0","0.6","0.6",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","322","3.342","33.2","32.6","14.3","11.8","5.6","1.6","0.3","0.3",".",".",".",".","0.3",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","42","2.964","19.0","21.4","19.0","23.8","11.9","4.8",".",".",".",".",".",".",".",".",".","."
