"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","174
001","27","3.926","92.6","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","174
002","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","174
003","48","2.635","4.2","27.1","35.4","16.7","2.1",".","14.6",".",".",".",".",".",".",".",".","."
"","174
004","29","3.500","51.7","27.6","6.9","10.3",".",".","3.4",".",".",".",".",".",".",".",".","."
"Literature and Social Justice","Course Total","131","3.374","52.7","16.8","14.5","9.2","0.8",".","6.1",".",".",".",".",".",".",".",".","."
"","175
001","20","3.275","40.0","25.0","15.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","175
002","30","3.883","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & the Other Disciplines","Course Total","50","3.640","64.0","20.0","8.0",".","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"","176
001","39","3.577","25.6","64.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","60","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Literature and Film","Course Total","99","3.803","64.6","31.3","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","177
001","202","3.745","80.2","10.4","3.0","2.0","0.5","2.5","1.5",".",".",".",".",".",".",".",".","."
"","177
002","29","3.534","44.8","44.8","3.4",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","177
003","92","3.902","90.2",".","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","177
004","58","3.793","81.0","12.1","1.7","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","Course Total","381","3.774","80.1","10.8","4.5","1.3","0.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"Digital Media, Lit, Culture","178
001","205","3.980","96.6","2.9","0.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Ideology","179
001","43","3.791","76.7","14.0","2.3","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","182
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Studio","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","19","3.632","84.2",".","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","201
003","18","3.556","72.2",".","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","201
004","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","131","3.855","89.3","3.1","3.1","1.5","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","207
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
002","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
003","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","207
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
011","15","3.182","20.0","20.0","6.7","20.0","6.7",".",".",".",".",".",".",".","6.7","20.0",".","."
"Intro to Creative Writing","Course Total","106","3.804","72.6","16.0","2.8","2.8","1.9",".",".",".",".",".",".",".","0.9","2.8",".","."
"Literature and Culture I","241
001","109","3.734","84.4","2.8","3.7","4.6",".","3.7","0.9",".",".",".",".",".",".",".",".","."
"Literature and Culture II","242
001","108","3.843","79.6","14.8","2.8","1.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"","245
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 245 of 486",""
