"ENGR MECHANICS & AEROSPA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","251","3.230","30.7","28.7","20.7","9.2","4.8","4.0","1.6",".",".",".",".",".","0.4",".",".","."
"","201
002","256","3.340","34.8","28.5","21.5","9.0","3.1","2.0","1.2",".",".",".",".",".",".",".",".","."
"","201
003","40","2.875","22.5","5.0","27.5","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Statics","Course Total","547","3.255","32.0","26.9","21.6","10.2","4.8","3.1","1.3",".",".",".",".",".","0.2",".",".","."
"Dynamics","202
001","282","3.345","33.3","25.9","22.7","11.7","6.0",".",".","0.4",".",".",".",".",".",".",".","."
"","303
001","157","2.678","10.8","11.5","29.3","21.0","18.5","7.0","1.9",".",".",".",".",".",".",".",".","."
"","303
002","118","2.606","9.3","10.2","28.8","21.2","18.6","11.0","0.8",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","275","2.647","10.2","10.9","29.1","21.1","18.5","8.7","1.5",".",".",".",".",".",".",".",".","."
"","307
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
014","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
017","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","150","3.920","84.7","14.7","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","27","3.833","74.1","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","18","3.167","11.1","44.4","27.8",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","13","3.115","15.4","38.5","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","23","3.283","26.1","26.1","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","35","3.057","22.9","17.1","34.3","17.1","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Astrodynamics","550
001","27","3.333","25.9","33.3","33.3","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","35","3.706","54.3","28.6","14.3",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","599
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 138 of 486",""
