"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","131","3.733","82.4","5.3","3.8","3.8","0.8","2.3","1.5",".",".",".",".",".",".",".",".","."
"","100
002","20","3.600","75.0","10.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","100
003","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","18","3.806","88.9",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","188","3.745","82.4","5.9","3.7","3.2","1.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","134","3.604","61.9","22.4","5.2","3.0","5.2","0.7","1.5",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","17","3.469","58.8","5.9","11.8","11.8",".","5.9",".",".",".",".",".",".","5.9",".",".","."
"","150
001","16","3.688","75.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","16","3.233","43.8","12.5","18.8","6.3","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"","150
004","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","16","3.500","56.3","6.3","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","77","3.653","71.4","5.2","10.4","5.2","3.9",".","1.3","2.6",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","30","3.810","66.7","26.7",".","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"","200
001","34","3.779","85.3",".","5.9","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","200
002","34","3.853","85.3","5.9","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","200
003","35","3.671","74.3","5.7","11.4","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","200
004","34","3.721","76.5","11.8","5.9","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","137","3.755","80.3","5.8","7.3","2.2","2.9","0.7","0.7",".",".",".",".",".",".",".",".","."
"","219
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","25","3.951","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","11","3.700","63.6","18.2",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","250
001","11","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","250
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","23","3.804","82.6","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Producing Theatre","260
001","18","3.294","44.4","22.2","5.6","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"","262
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Practicum","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
102","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
111","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
112","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 115 of 486",""
