"Summary by Level","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","16
3.906","81.3","","18.8","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","18","3.889
77.8","","22.2","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","13",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","16",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","25",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","54",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
