"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","22","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","43","3.973","97.7",".","2.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","70","3.983","98.6",".","1.4","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","31","3.703","19.4","3.2","6.5","",".","",".","",".","",".","67.7","",".",".","",".","",".","",".",".","3.2","."
"Prof Yr 3","","10","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","17","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","27","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
