"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","517
006","6","2.100","16.7","16.7","16.7",".",".",".","33.3",".",".",".",".",".",".",".","16.7","."
"Digital Health","Course Total","20","2.694","30.0","15.0","5.0","10.0","10.0","10.0","10.0","5.0",".",".",".",".",".",".","5.0","."
"","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","26","3.788","88.5","3.8","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","54","3.889","92.6","3.7","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","612
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"User Experience Design 2","Course Total","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Lit for Youth","629
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit and Resources for Youth","Course Total","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
016","17","3.206","35.3","35.3",".","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","640
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
026","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
030","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
032","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","118","3.810","81.4","11.9","1.7","3.4","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"","644
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","646
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 294 of 486",""
