"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","743
004","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","","51","",".",".",".",".",".",".",".","92.2",".",".",".",".",".",".",".","7.8"
"Administrative Law","744
001","","24","1.143","12.5",".","16.7",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","","19","1.278","10.5",".","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Health Justice Clinic","768
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
001","","15","0.733",".",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Law of Democracy","790
001","","42","1.600","33.3",".","4.8",".","2.4",".",".","4.8",".",".",".",".",".",".",".","."
"Criminal Defense Practice","796
001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prosecution Function","797
001","","8","0.000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801
001","","63","1.667","15.9",".","22.2",".","6.3",".",".","14.3",".",".",".",".",".",".",".","."
"","802
001","","69","1.303","21.7",".","11.6",".","1.4",".",".","4.3",".",".",".",".",".",".",".","."
"","802
002","","38","1.559","13.2",".","28.9",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","","107","1.390","18.7",".","17.8",".","0.9",".",".","6.5",".",".",".",".",".",".",".","."
"","808
001","","38","",".",".",".",".",".",".",".","97.4",".",".",".",".",".",".",".","2.6"
"","808
002","","22","",".",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","4.5"
"Advanced Legal Writing","Course Total","","60","",".",".",".",".",".",".",".","96.7",".",".",".",".",".",".",".","3.3"
"","815
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Moot Court","Course Total","","51","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Bus Org: Pship LLC Close Corps","817
001","","44","1.225","11.4",".","20.5",".","2.3",".",".","9.1",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","53","2.431","49.1",".","11.3",".","1.9",".",".","3.8",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","14","0.786","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","8","1.625","12.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","20","0.889","10.0",".","10.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","849
001","","14","",".",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","35.7"
"","849
002","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","7.1"
"","849
003","","14","",".",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","21.4"
"Pre-Trial Advocacy","Course Total","","42","",".",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","21.4"
"","850
002","","13","0.923","7.7",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","850
003","","21","1.571","14.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850
004","","45","1.279","15.6",".","20.0",".",".",".",".","4.4",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","79","1.271","13.9",".","22.8",".","1.3",".",".","2.5",".",".",".",".",".",".",".","."
"","852
001","","17","",".",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","17.6"
"","852
004","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
