"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"","999
080","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","999
081","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","3430","3.596","62.0","20.1","7.9","4.1","3.2","1.2","0.9","0.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","132","3.483","53.0","26.5","6.8","6.8","4.5","0.8","1.5",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","635","3.686","66.9","19.2","7.6","2.8","1.3","1.3","0.9",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1081","3.575","62.3","17.8","9.3","4.3","4.1","1.2","1.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1519","3.586","60.5","22.1","7.6","4.5","3.4","1.3","0.5","0.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3367","3.597","62.0","20.3","8.1","4.2","3.3","1.2","0.8","0.1","",".",".","",".","",".","",".",".",".","."
"Special","","16","3.375","25.0","6.3",".","6.3",".",".","6.3","56.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","47","3.560","72.3","8.5",".",".","2.1",".","6.4","10.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","3430","3.596","62.0","20.1","7.9","4.1","3.2","1.2","0.9","0.5","",".",".","",".","",".","",".",".",".","."
