"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"Archaeology & Prehist World","102
001","69","3.202","30.4","20.3","24.6","4.3","2.9","4.3","2.9","10.1",".",".",".",".",".",".",".","."
"","104
001","333","3.565","44.7","36.6","13.2","3.0","0.9","0.3","1.2",".",".",".",".",".",".",".",".","."
"","104
002","299","3.527","48.5","32.1","11.0","3.7","1.3","1.3","2.0",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","632","3.547","46.5","34.5","12.2","3.3","1.1","0.8","1.6",".",".",".",".",".",".",".",".","."
"","105
001","142","3.317","40.8","18.3","24.6","7.0","4.9","2.8","1.4",".",".",".",".",".",".",".",".","."
"","105
002","239","3.567","54.4","18.8","18.8","3.3","3.8","0.8",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","381","3.474","49.3","18.6","21.0","4.7","4.2","1.6","0.5",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212
001","67","3.280","41.8","13.4","28.4","3.0","7.5","1.5","3.0",".",".",".",".",".",".",".","1.5","."
"Latin America-Introduction","260
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dimensions-Material Culture","264
001","10","3.200","50.0","10.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intro to Culture and Health","265
001","87","3.698","63.2","18.4","12.6","2.3","2.3",".",".","1.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304
001","56","3.962","87.5","7.1",".",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"","310
001","16","3.067","43.8","18.8","6.3","6.3","6.3",".","12.5","6.3",".",".",".",".",".",".",".","."
"","310
002","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","27","3.404","59.3","14.8","7.4","3.7","3.7",".","7.4","3.7",".",".",".",".",".",".",".","."
"","322
001","40","3.792","72.5","7.5","5.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","322
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Origins of Civilization","Course Total","42","3.803","73.8","7.1","4.8",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","Course Total","16","3.824","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Music Race & Culture in Brazil","340
001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","357
001","10","3.516","80.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391
001","20","3.325","45.0","25.0","10.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","18","3.222","55.6","5.6","5.6","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","455
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychological Anthropology","545
001","10","3.625","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Problems in Anthropology","690
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696
078","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 187 of 486",""
