"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","65","3.672","53.8","23.1","12.3","4.6",".",".",".","6.2",".",".",".",".",".",".",".","."
"","101
002","59","3.595","47.5","28.8","16.9","3.4","1.7",".",".",".",".",".",".",".",".",".","1.7","."
"","101
003","48","3.521","45.8","33.3","8.3","8.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","101
004","62","3.500","59.7","14.5","12.9","4.8","3.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"","101
005","63","3.810","88.9","4.8","1.6","1.6",".",".","3.2",".",".",".",".",".",".",".",".","."
"","101
006","58","3.276","22.4","43.1","13.8","15.5","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","355","3.567","53.8","23.9","11.0","6.2","1.7","0.8","1.1","1.1",".",".",".",".",".",".","0.3","."
"Reason in Communication","210
001","63","3.325","28.6","30.2","25.4","9.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","211
001","59","3.331","45.8","11.9","23.7","10.2","3.4","5.1",".",".",".",".",".",".",".",".",".","."
"","211
002","42","3.366","35.7","23.8","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".","2.4","."
"","211
003","65","2.785","27.7","9.2","20.0","12.3","13.8","16.9",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","166","3.124","36.1","13.9","22.3","9.6","9.0","8.4",".",".",".",".",".",".",".",".","0.6","."
"","241
001","125","3.524","38.4","35.2","20.0","2.4","1.6","0.8",".","1.6",".",".",".",".",".",".",".","."
"","241
002","53","3.604","54.7","28.3","11.3","1.9","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","241
003","61","3.758","73.8","14.8","4.9","3.3",".",".","1.6",".",".",".",".",".",".","1.6",".","."
"Introductory Ethics","Course Total","239","3.602","51.0","28.5","14.2","2.5","1.3","0.4","0.8","0.8",".",".",".",".",".","0.4",".","."
"","243
001","135","3.907","84.4","13.3","1.5","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","243
002","62","3.863","80.6","12.9","4.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","243
003","53","3.689","49.1","41.5","7.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics in Business","Course Total","250","3.850","76.0","19.2","3.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","66","3.906","90.9","3.0","1.5",".",".",".","1.5","3.0",".",".",".",".",".",".",".","."
"","341
002","51","3.867","80.4","9.8","2.0","3.9",".",".",".","2.0",".",".",".",".",".",".","2.0","."
"","341
003","64","3.633","50.0","32.8","15.6",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"","341
091","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","23","3.500","47.8","21.7","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","341
094","22","3.705","81.8","4.5","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","267","3.779","74.2","13.9","7.5","1.1","0.7","0.4","0.7","1.1",".",".",".",".",".",".","0.4","."
"Hist of Ancient Philosophy","430
001","69","3.856","79.7","10.1","2.9",".","2.9",".",".",".",".",".",".",".","1.4","2.9",".","."
"History-Modern Philosophy","432
001","39","3.214","23.1","28.2","25.6","5.1","2.6","2.6","2.6","10.3",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","19","3.711","63.2","26.3",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","25","3.560","44.0","28.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Language and Meaning","516
002","23","3.750","47.8","34.8","4.3",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","18","3.500","77.8",".","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","33","3.485","51.5","21.2","15.2","3.0","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","24","3.696","45.8","41.7","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Philos of Moral Education","550
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","26","3.646","57.7","19.2","11.5",".",".","3.8",".","3.8",".",".",".",".",".",".","3.8","."
"Topics-Feminism&Philosophy","556
001","24","3.896","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 324 of 486",""
