"L&S","","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"2nd Semester Portuguese","102","001","","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226","001","","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","16","3.563","56.3","25.0","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Luso-Brazilian Culture","642","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","","Dept. Total","","43","3.664","67.4","14.0","9.3","2.3","2.3","2.3",".",".",".",".",".",".",".",".","2.3","."
