"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","11","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Global Education through Film","112
001","49","3.698","67.3","18.4","4.1",".","8.2",".",".",".",".",".",".",".",".",".","2.0","."
"Education, Tech, and Society","123
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media Literacy in Education","134
001","14","3.393","71.4","7.1","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","140
001","47","3.761","74.5","14.9","4.3","2.1",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"","140
002","49","3.949","89.8","10.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","96","3.858","82.3","12.5","2.1","1.0",".",".","1.0","1.0",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","31","3.717","58.1","29.0","6.5",".","3.2",".",".",".",".",".",".",".",".",".","3.2","."
"Intro to Education Policy","145
001","29","3.897","89.7","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","79","3.860","82.3","13.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","30","3.850","86.7","6.7",".","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","200
002","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
003","29","3.362","48.3","13.8","10.3","17.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","Course Total","89","3.725","75.3","10.1","3.4","6.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed, Arts, Health","203
001","8","3.864","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Social Inequality","205
001","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","209
001","49","3.939","91.8","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","48","3.948","95.8","2.1",".",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","210
003","50","3.880","82.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","50","3.950","92.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","175","3.931","90.9","5.7","2.9",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"","212
001","30","3.862","93.3",".",".",".",".",".","3.3",".",".",".",".",".","3.3",".",".","."
"","212
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education for Social Justice","Course Total","56","3.927","96.4",".",".",".",".",".","1.8",".",".",".",".",".","1.8",".",".","."
"","220
001","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
002","23","3.761","73.9","21.7",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","220
003","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","64","3.758","64.1","29.7","4.7",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"","240
001","49","3.796","73.5","16.3","6.1","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","48","3.927","89.6","6.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Education","Course Total","97","3.861","81.4","11.3","5.2","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"International Educational Dev","260
001","28","3.750","71.4","21.4","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"","300
001","50","3.810","76.0","14.0","6.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","50","3.930","92.0","2.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","48","3.875","89.6","4.2","4.2",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"","300
005","48","3.948","91.7","6.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 99 of 486",""
