"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"399","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","098","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","115","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","122","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Digital Signal Processing","001","","50","3.480","36.0","42.0","12.0","2.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"434
Photonics","001","","19","3.500","42.1","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"435
Introduction to Cryptography","001","","12","2.875","25.0",".","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"437
Communication Systems II","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"439
Introduction to Robotics","001","","39","3.705","48.7","43.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Kinemat Dynam&Ctrl Robot Manip","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"453
Embedded Microproc System Dsgn","001","","36","3.764","66.7","22.2","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"455
Capstone Design in ECE","001","","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","19","3.158","26.3","26.3","15.8","26.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"489","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"504
Elec Mach&Drive Systm Lab","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"506","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"506","002","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"506","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","Course Total","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"524","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"524","002","","24","3.565","37.5","33.3","25.0",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Introduction to Optimization","Course Total","","28","3.537","35.7","32.1","28.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"525
Introduction to Plasmas","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"532","001","","22","3.136","18.2","18.2","40.9","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"532","002","","8","3.286","37.5","12.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"Mtrx Mthds in Machine Learning","Course Total","","30","3.172","23.3","16.7","33.3","16.7","6.7",".",".",".",".",".",".",".",".",".","3.3","."
