"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"150
Fermented Food and Beverages","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Discovering Food Science","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","39","2.769","15.4","15.4","28.2","10.3","23.1","5.1","2.6",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","30","3.833","86.7","3.3","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"378
Precision Fermentation","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
Food Analysis","001","","22","2.386","4.5","13.6","27.3","9.1","27.3","13.6","4.5",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","22","2.773","13.6","13.6","27.3","13.6","27.3","4.5",".",".",".",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Senior Seminar","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","30","3.817","90.0","3.3",".",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","31","",".",".",".",".",".",".",".","90.3",".",".",".","9.7",".",".",".","."
