"REAL ESTATE & URBAN LAND E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Real Estate Capital Markets","640","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","701","050","","38","3.829","81.6","7.9","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715","001","","19","3.605","52.6","26.3","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720","001","","25","3.640","44.0","40.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750","001","","36","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760","001","","38","3.895","81.6","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","002","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","005","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","","75","3.927","93.3","5.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment II","842","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 3","852","001","","28","3.804","67.9","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Estate Finance Theory","870","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Research Seminar","978","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","218","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","","4","***","","","","","","","","","","","","","","","",""
