"INTEGRATED SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","",""
"","150
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","","22","3.929","86.4","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Exploring Research in STEM","Course Total","","36","3.957","91.7","2.8","2.8",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Explrn Leadership in STEM","230
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service with Youth in STEM","240
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service in STEM Practicum","341
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Service in STEM","640
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"College Science Teaching","650
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","660
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","660
005","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Mentor Training","Course Total","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
