"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DERM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","20","3.975","95.0","5.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","28","3.982","96.4","3.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","22","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","28","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","50","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
