"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","710
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
010","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
021","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
031","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
032","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
033","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
042","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
121","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
131","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","121","3.976","96.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Prac in Schools II","817
010","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools II","818
010","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","836
001","29","3.845","72.4","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
002","21","3.690","61.9","23.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","50","3.780","68.0","24.0","6.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","840
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","56","3.929","87.5","10.7","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
010","7","3.429","57.1",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Supervision&Leaderhsip-","Course Total","17","3.706","70.6","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Crisis Intervention","854
001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog & MH Treatments for Adults","870
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disablty Prac 21c","874
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","929
001","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
010","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Misuse","Course Total","30","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 350 of 486",""
